dataset,method,trial_id,auc_tune,lambda_scale,lambda_abs
Sandiego,SSCTV_LOGSPARSITY,1,0.9694515306122449,0.75,0.005455447255899809
Sandiego,SSCTV_LOGSPARSITY,2,0.9681122448979593,1.0,0.007273929674533079
Sandiego,SSCTV_LOGSPARSITY,3,0.9647321428571429,1.25,0.009092412093166349
