noise_param,noise_level,gaussian_level,sparse_level,stripe_prob,stripe_strength,case_id,method,mPSNR,mSSIM,ERGAS,time_sec
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,pure_DCmall.mat,Noisy,17.781796,0.512402,79.905239,0.000000
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,pure_DCmall.mat,SSCTV-RPCA,55.121154,0.999321,1.712077,817.400485
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,pure_DCmall.mat,CTV-RPCA,50.214166,0.999332,2.434445,182.872877
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,pure_DCmall.mat,RPCA,45.326345,0.998799,4.914569,37.856318
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,pure_DCmall_small.mat,Noisy,17.820498,0.657290,45.886682,0.000000
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,pure_DCmall_small.mat,SSCTV-RPCA,52.346532,0.999413,1.509292,247.124426
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,pure_DCmall_small.mat,CTV-RPCA,49.976321,0.999422,1.548088,53.108970
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,pure_DCmall_small.mat,RPCA,45.370209,0.998859,2.411773,10.142054
