case_id,method,mPSNR,mSSIM,ERGAS,time_sec
pure_DCmall.mat,Noisy,13.010677,0.246757,138.375231,0.000000
pure_DCmall.mat,SSCTV-RPCA,53.142705,0.998951,2.173016,768.739566
pure_DCmall.mat,CTV-RPCA,47.451635,0.998829,3.138802,177.248464
pure_DCmall.mat,RPCA,42.228951,0.997698,6.049932,36.920182
pure_DCmall_small.mat,Noisy,13.013145,0.384230,79.742648,0.000000
pure_DCmall_small.mat,SSCTV-RPCA,50.013748,0.999103,1.856470,211.278502
pure_DCmall_small.mat,CTV-RPCA,46.627777,0.998970,2.176355,44.684550
pure_DCmall_small.mat,RPCA,41.918327,0.997932,3.421155,9.494159
