method,AVG_mPSNR,AVG_mSSIM,AVG_ERGAS,AVG_time_sec,N_cases
Noisy,13.011911,0.315494,109.058939,0.000000,2
SSCTV-RPCA,51.578226,0.999027,2.014743,490.009034,2
CTV-RPCA,47.039706,0.998899,2.657578,110.966507,2
RPCA,42.073639,0.997815,4.735543,23.207170,2
