dataset,branch,auc_full,auc_tune,auc_holdout,time_sec,score_min,score_max,score_mean,score_std,S_fro,S_l1,S_nonzero_ratio,lambda1,lambda2,alpha1,alpha2,notes
Sandiego,SSCTV_LOGDET_with_fro2,0.9756083359358871,0.9769770408163265,0.9788612567850148,268.16749210000125,0.0007835594818798408,0.1980178945889194,0.008564110612911237,0.009366296830586191,1.2691394994594873,340.27307292355147,0.21493862433862435,0.007273929674533079,0.00021821789023599236,2.0,2.0,"Sandiego best_effort_repo: uploaded Sandiego.mat is already a 100x100 cropped scene, so exact repo k==1 150x150 reconstruction is impossible; using provided Sandiego_new.mat + PlaneGT/map as the closest repo-aligned pair"
Sandiego,SSCTV_LOGDET_without_fro2,0.9756065714925954,0.9769770408163265,0.978864931809913,264.78841880000255,0.0007836248665547822,0.19807768359132202,0.008564594130831344,0.009368009907316231,1.269298555303069,340.2881645843442,0.21493597883597884,0.007273929674533079,0.0,2.0,2.0,"Sandiego best_effort_repo: uploaded Sandiego.mat is already a 100x100 cropped scene, so exact repo k==1 150x150 reconstruction is impossible; using provided Sandiego_new.mat + PlaneGT/map as the closest repo-aligned pair"
