noise_param,noise_level,gaussian_level,sparse_level,stripe_prob,stripe_strength,case_id,method,mPSNR,mSSIM,ERGAS,time_sec
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,balloons_ms,Noisy,17.783296,0.176705,88.242314,0.000000
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,balloons_ms,SSCTV-RPCA,52.980180,0.997699,1.932642,4688.684480
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,balloons_ms,CTV-RPCA,46.349750,0.997042,4.184974,794.917276
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,balloons_ms,RPCA,34.642081,0.974813,13.063744,121.971383
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,beads_ms,Noisy,17.774457,0.364071,120.326048,0.000000
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,beads_ms,SSCTV-RPCA,42.111937,0.996349,8.830289,4673.336236
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,beads_ms,CTV-RPCA,33.609189,0.987550,23.279726,798.547482
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,beads_ms,RPCA,26.480208,0.940119,56.216546,123.527449
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,cd_ms,Noisy,17.796784,0.191642,191.278842,0.000000
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,cd_ms,SSCTV-RPCA,37.427954,0.993357,19.086023,4421.480426
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,cd_ms,CTV-RPCA,34.223502,0.989939,28.359448,739.178927
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,cd_ms,RPCA,22.721955,0.939368,111.436176,122.476056
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,chart_and_stuffed_toy_ms,Noisy,17.781323,0.264565,78.397572,0.000000
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,chart_and_stuffed_toy_ms,SSCTV-RPCA,50.680016,0.996590,3.102025,4883.564873
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,chart_and_stuffed_toy_ms,CTV-RPCA,44.542954,0.996745,3.861814,804.958426
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,chart_and_stuffed_toy_ms,RPCA,33.911880,0.963727,14.888353,106.061431
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,clay_ms,Noisy,17.764942,0.182323,206.585183,0.000000
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,clay_ms,SSCTV-RPCA,50.470014,0.996344,5.407740,4595.252995
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,clay_ms,CTV-RPCA,43.733426,0.994951,11.658506,785.196048
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,clay_ms,RPCA,26.368266,0.941203,101.794165,122.510941
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,cloth_ms,Noisy,17.767687,0.420879,70.727269,0.000000
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,cloth_ms,SSCTV-RPCA,47.917728,0.995024,2.918808,4657.209574
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,cloth_ms,CTV-RPCA,45.117011,0.996010,3.933142,816.261906
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,cloth_ms,RPCA,36.347568,0.981135,10.593025,128.886594
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,egyptian_statue_ms,Noisy,17.771617,0.185979,306.186506,0.000000
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,egyptian_statue_ms,SSCTV-RPCA,48.863604,0.998280,9.418169,4642.378126
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,egyptian_statue_ms,CTV-RPCA,42.040431,0.996702,18.383875,749.429583
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,egyptian_statue_ms,RPCA,31.370164,0.977392,73.846332,121.464301
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,face_ms,Noisy,17.778924,0.204312,115.418582,0.000000
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,face_ms,SSCTV-RPCA,46.148406,0.996213,4.755130,4532.777168
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,face_ms,CTV-RPCA,41.616322,0.994253,7.817852,762.664454
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,face_ms,RPCA,30.569328,0.972723,34.309434,117.772591
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,fake_and_real_beers_ms,Noisy,17.788914,0.145253,41.914092,0.000000
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,fake_and_real_beers_ms,SSCTV-RPCA,49.552142,0.995949,1.219867,4672.585130
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,fake_and_real_beers_ms,CTV-RPCA,44.116906,0.994747,2.033536,817.566792
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,fake_and_real_beers_ms,RPCA,38.855318,0.985208,4.082775,131.332566
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,fake_and_real_food_ms,Noisy,17.772945,0.212680,251.517492,0.000000
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,fake_and_real_food_ms,SSCTV-RPCA,51.298295,0.997939,5.229902,4501.059755
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,fake_and_real_food_ms,CTV-RPCA,43.062400,0.995574,14.119496,754.258326
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,fake_and_real_food_ms,RPCA,27.330634,0.950788,93.768016,128.268643
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,fake_and_real_lemon_slices_ms,Noisy,17.781724,0.219570,193.754694,0.000000
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,fake_and_real_lemon_slices_ms,SSCTV-RPCA,47.508230,0.996029,7.920422,4387.371480
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,fake_and_real_lemon_slices_ms,CTV-RPCA,38.508092,0.990726,18.811733,748.899718
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,fake_and_real_lemon_slices_ms,RPCA,31.904665,0.966069,41.092533,125.000635
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,fake_and_real_lemons_ms,Noisy,17.768008,0.185379,166.748447,0.000000
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,fake_and_real_lemons_ms,SSCTV-RPCA,54.016572,0.997892,2.876251,4471.716589
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,fake_and_real_lemons_ms,CTV-RPCA,47.431332,0.996942,6.089050,781.680813
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,fake_and_real_lemons_ms,RPCA,33.605422,0.960497,44.607754,127.253580
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,fake_and_real_peppers_ms,Noisy,17.781623,0.199550,226.729745,0.000000
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,fake_and_real_peppers_ms,SSCTV-RPCA,52.001066,0.998693,5.202052,4379.801184
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,fake_and_real_peppers_ms,CTV-RPCA,44.883597,0.997961,11.232557,770.703685
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,fake_and_real_peppers_ms,RPCA,28.608754,0.958301,84.179654,131.311984
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,fake_and_real_strawberries_ms,Noisy,17.781817,0.198678,175.783604,0.000000
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,fake_and_real_strawberries_ms,SSCTV-RPCA,52.808956,0.997211,3.667240,4407.402049
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,fake_and_real_strawberries_ms,CTV-RPCA,44.172986,0.994766,8.544982,773.213959
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,fake_and_real_strawberries_ms,RPCA,36.348821,0.956719,19.744951,130.895567
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,fake_and_real_sushi_ms,Noisy,17.783206,0.191802,395.326883,0.000000
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,fake_and_real_sushi_ms,SSCTV-RPCA,47.223794,0.998388,13.420952,4511.579642
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,fake_and_real_sushi_ms,CTV-RPCA,39.096108,0.996371,37.216438,760.504809
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,fake_and_real_sushi_ms,RPCA,24.350079,0.948079,181.468584,105.870022
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,fake_and_real_tomatoes_ms,Noisy,17.781291,0.192135,440.135952,0.000000
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,fake_and_real_tomatoes_ms,SSCTV-RPCA,48.008581,0.997337,16.449532,4527.215136
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,fake_and_real_tomatoes_ms,CTV-RPCA,37.047109,0.991065,57.905459,747.044039
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,fake_and_real_tomatoes_ms,RPCA,26.232820,0.953937,143.595020,99.288958
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,feathers_ms,Noisy,17.773445,0.241560,102.416470,0.000000
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,feathers_ms,SSCTV-RPCA,50.069976,0.997227,3.751807,4687.392995
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,feathers_ms,CTV-RPCA,43.908566,0.996519,6.177604,792.704222
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,feathers_ms,RPCA,29.363537,0.949096,27.123955,131.059290
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,flowers_ms,Noisy,17.798310,0.231464,126.436883,0.000000
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,flowers_ms,SSCTV-RPCA,51.284819,0.996906,4.135408,4737.652021
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,flowers_ms,CTV-RPCA,46.825076,0.996311,6.199680,806.462978
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,flowers_ms,RPCA,26.924198,0.953620,50.950465,137.201203
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,glass_tiles_ms,Noisy,17.779365,0.269526,113.341976,0.000000
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,glass_tiles_ms,SSCTV-RPCA,44.586679,0.995482,6.666136,4688.546298
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,glass_tiles_ms,CTV-RPCA,36.122262,0.993529,13.867634,815.352771
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,glass_tiles_ms,RPCA,27.924196,0.955603,35.620059,128.328620
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,hairs_ms,Noisy,17.778439,0.210346,134.976394,0.000000
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,hairs_ms,SSCTV-RPCA,49.030942,0.996450,4.293469,4518.329092
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,hairs_ms,CTV-RPCA,41.713231,0.995473,8.802135,790.599074
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,hairs_ms,RPCA,30.248243,0.975751,46.304531,130.468857
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,jelly_beans_ms,Noisy,17.783031,0.332967,106.054181,0.000000
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,jelly_beans_ms,SSCTV-RPCA,47.730503,0.997785,4.875573,4626.124365
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,jelly_beans_ms,CTV-RPCA,37.847527,0.994752,11.988750,807.058490
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,jelly_beans_ms,RPCA,32.239908,0.966944,23.207463,133.197284
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,oil_painting_ms,Noisy,17.781638,0.268360,88.392851,0.000000
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,oil_painting_ms,SSCTV-RPCA,49.604344,0.993975,3.104973,4622.189918
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,oil_painting_ms,CTV-RPCA,44.516530,0.994229,4.835055,803.264807
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,oil_painting_ms,RPCA,37.489516,0.976798,10.970161,135.775521
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,paints_ms,Noisy,17.790261,0.284630,65.197720,0.000000
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,paints_ms,SSCTV-RPCA,48.316503,0.997431,2.380404,4576.643962
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,paints_ms,CTV-RPCA,42.968609,0.997115,3.603165,830.171647
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,paints_ms,RPCA,30.616223,0.962091,17.426800,129.641207
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,photo_and_face_ms,Noisy,17.789969,0.217450,213.023312,0.000000
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,photo_and_face_ms,SSCTV-RPCA,46.436135,0.994587,8.925587,4404.285658
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,photo_and_face_ms,CTV-RPCA,42.614903,0.993010,12.315448,794.036434
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,photo_and_face_ms,RPCA,34.331839,0.971932,35.984226,132.428741
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,pompoms_ms,Noisy,17.783280,0.239391,71.807788,0.000000
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,pompoms_ms,SSCTV-RPCA,52.282561,0.997708,1.665006,4547.101591
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,pompoms_ms,CTV-RPCA,47.265449,0.996988,3.159027,753.551158
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,pompoms_ms,RPCA,28.969505,0.947283,21.159924,129.486476
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,real_and_fake_apples_ms,Noisy,17.784629,0.192525,181.652138,0.000000
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,real_and_fake_apples_ms,SSCTV-RPCA,51.937118,0.997545,3.636946,4659.387249
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,real_and_fake_apples_ms,CTV-RPCA,44.749827,0.996186,9.043870,761.952305
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,real_and_fake_apples_ms,RPCA,25.617932,0.951081,82.076601,98.471940
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,real_and_fake_peppers_ms,Noisy,17.793383,0.196203,106.701362,0.000000
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,real_and_fake_peppers_ms,SSCTV-RPCA,51.520957,0.996962,2.641268,4710.950937
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,real_and_fake_peppers_ms,CTV-RPCA,44.657258,0.995851,5.939605,765.587732
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,real_and_fake_peppers_ms,RPCA,30.847284,0.951299,45.647182,64.895945
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,sponges_ms,Noisy,17.776611,0.187714,43.947336,0.000000
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,sponges_ms,SSCTV-RPCA,49.276917,0.994729,1.401455,4687.632045
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,sponges_ms,CTV-RPCA,41.989743,0.993595,3.023492,784.668736
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,sponges_ms,RPCA,30.259273,0.932597,14.426907,65.136792
