noise_param,noise_level,gaussian_level,sparse_level,stripe_prob,stripe_strength,method,AVG_mPSNR,AVG_mSSIM,AVG_ERGAS,AVG_time_sec,N_cases
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,Noisy,17.781002,0.229729,156.558895,0.000000,32
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,SSCTV-RPCA,49.233719,0.996636,5.379434,4587.078300,32
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,CTV-RPCA,42.678544,0.994965,11.875911,778.722975,32
sparse,0.100000,0.000000,0.100000,0.000000,0.100000,RPCA,30.574853,0.959397,50.364197,116.072464,32
