noise_param,noise_level,gaussian_level,sparse_level,stripe_prob,stripe_strength,method,AVG_mPSNR,AVG_mSSIM,AVG_ERGAS,AVG_time_sec,N_cases
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,Noisy,11.768003,0.252619,125.877948,0.000000,2
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,SSCTV-RPCA,48.698796,0.998380,2.509419,528.262974,2
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,CTV-RPCA,44.685259,0.998223,3.272133,115.655975,2
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,RPCA,39.835189,0.996420,5.748477,24.241688,2
