noise_param,noise_level,gaussian_level,sparse_level,stripe_prob,stripe_strength,case_id,method,mPSNR,mSSIM,ERGAS,time_sec
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,pure_DCmall.mat,Noisy,11.761387,0.191603,159.813879,0.000000
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,pure_DCmall.mat,SSCTV-RPCA,50.299195,0.998248,2.714510,812.162399
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,pure_DCmall.mat,CTV-RPCA,45.301734,0.998119,3.759359,179.846934
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,pure_DCmall.mat,RPCA,40.025186,0.996022,7.202396,38.078219
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,pure_DCmall_small.mat,Noisy,11.774619,0.313634,91.942016,0.000000
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,pure_DCmall_small.mat,SSCTV-RPCA,47.098398,0.998513,2.304328,244.363549
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,pure_DCmall_small.mat,CTV-RPCA,44.068784,0.998327,2.784906,51.465016
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,pure_DCmall_small.mat,RPCA,39.645192,0.996818,4.294558,10.405156
