case_id,method,mPSNR,mSSIM,ERGAS,time_sec
glass_tiles_ms,Noisy,13.010278,0.091692,196.222567,0.000000
glass_tiles_ms,SSCTV-RPCA,42.370213,0.990633,7.828773,5101.807240
glass_tiles_ms,CTV-RPCA,34.415278,0.987592,16.502085,769.565130
glass_tiles_ms,RPCA,24.751517,0.876158,50.340513,126.845142
hairs_ms,Noisy,13.006748,0.043908,233.796086,0.000000
hairs_ms,SSCTV-RPCA,47.294309,0.994745,5.096862,4915.049813
hairs_ms,CTV-RPCA,40.054071,0.992811,10.450014,755.162397
hairs_ms,RPCA,26.656547,0.939789,60.081914,123.936378
jelly_beans_ms,Noisy,13.016643,0.126078,183.430288,0.000000
jelly_beans_ms,SSCTV-RPCA,45.283236,0.995386,5.749384,5055.995199
jelly_beans_ms,CTV-RPCA,36.312171,0.990455,13.830312,778.293881
jelly_beans_ms,RPCA,27.674619,0.910007,36.725072,128.450874
oil_painting_ms,Noisy,13.007927,0.077857,153.123720,0.000000
oil_painting_ms,SSCTV-RPCA,46.063101,0.987789,4.362460,5000.211404
oil_painting_ms,CTV-RPCA,40.895828,0.987013,6.985640,770.465270
oil_painting_ms,RPCA,31.969660,0.930489,19.335969,125.622596
paints_ms,Noisy,13.016158,0.107683,112.985156,0.000000
paints_ms,SSCTV-RPCA,46.060399,0.994296,2.933713,5166.231183
paints_ms,CTV-RPCA,40.766765,0.993230,4.656358,789.179392
paints_ms,RPCA,27.708912,0.914405,23.254619,99.750790
photo_and_face_ms,Noisy,13.008637,0.042382,369.459068,0.000000
photo_and_face_ms,SSCTV-RPCA,44.861188,0.992166,10.498757,4853.607327
photo_and_face_ms,CTV-RPCA,41.365073,0.989956,14.258456,736.370185
photo_and_face_ms,RPCA,30.799967,0.948658,50.181235,118.937517
pompoms_ms,Noisy,13.009650,0.066307,124.389247,0.000000
pompoms_ms,SSCTV-RPCA,49.178531,0.994878,2.216355,5047.145241
pompoms_ms,CTV-RPCA,44.719546,0.993168,3.949786,788.904876
pompoms_ms,RPCA,24.866266,0.842174,33.968904,111.527610
real_and_fake_apples_ms,Noisy,13.015108,0.032986,314.522325,0.000000
real_and_fake_apples_ms,SSCTV-RPCA,50.054837,0.996233,4.457042,4945.502018
real_and_fake_apples_ms,CTV-RPCA,42.581438,0.993197,11.488283,761.097546
real_and_fake_apples_ms,RPCA,22.905059,0.901873,104.154310,122.816278
real_and_fake_peppers_ms,Noisy,13.006452,0.041485,185.079044,0.000000
real_and_fake_peppers_ms,SSCTV-RPCA,49.772396,0.995385,3.136898,4978.558273
real_and_fake_peppers_ms,CTV-RPCA,42.546682,0.992102,7.485742,779.242486
real_and_fake_peppers_ms,RPCA,26.473506,0.879079,61.937760,96.546671
sponges_ms,Noisy,13.005397,0.055680,76.162588,0.000000
sponges_ms,SSCTV-RPCA,46.724346,0.990118,1.852000,5035.336621
sponges_ms,CTV-RPCA,39.931178,0.989455,3.810788,787.985020
sponges_ms,RPCA,23.854754,0.754642,24.820119,76.544632
stuffed_toys_ms,Noisy,13.006605,0.058243,169.468299,0.000000
stuffed_toys_ms,SSCTV-RPCA,50.106312,0.995925,2.675364,5198.230802
stuffed_toys_ms,CTV-RPCA,44.898785,0.993631,5.740927,712.317277
stuffed_toys_ms,RPCA,24.208229,0.883464,49.843905,40.170254
superballs_ms,Noisy,13.008232,0.027607,514.529925,0.000000
superballs_ms,SSCTV-RPCA,48.988916,0.994586,7.842292,4938.121863
superballs_ms,CTV-RPCA,39.543286,0.991577,24.930154,750.140468
superballs_ms,RPCA,24.528346,0.894653,128.861727,107.242998
thread_spools_ms,Noisy,13.013018,0.052782,276.607758,0.000000
thread_spools_ms,SSCTV-RPCA,50.961022,0.996160,4.018827,5050.089017
thread_spools_ms,CTV-RPCA,44.460221,0.994235,7.539028,760.081141
thread_spools_ms,RPCA,27.474121,0.903828,49.561185,66.330861
watercolors_ms,Noisy,13.012822,0.121214,55.943427,0.000000
watercolors_ms,SSCTV-RPCA,45.635545,0.989444,1.629584,5238.871295
watercolors_ms,CTV-RPCA,41.945410,0.989156,2.225829,594.109092
watercolors_ms,RPCA,31.554616,0.920831,7.084617,27.248181
