noise_param,noise_level,gaussian_level,sparse_level,stripe_prob,stripe_strength,method,AVG_mPSNR,AVG_mSSIM,AVG_ERGAS,AVG_time_sec,N_cases
sparse,0.200000,0.000000,0.200000,0.000000,0.100000,Noisy,14.783748,0.412226,88.998086,0.000000,2
sparse,0.200000,0.000000,0.200000,0.000000,0.100000,SSCTV-RPCA,52.896516,0.999244,1.776832,514.670581,2
sparse,0.200000,0.000000,0.200000,0.000000,0.100000,CTV-RPCA,48.758733,0.999206,2.269544,112.979297,2
sparse,0.200000,0.000000,0.200000,0.000000,0.100000,RPCA,43.836492,0.998472,4.100378,22.272793,2
