noise_param,noise_level,gaussian_level,sparse_level,stripe_prob,stripe_strength,case_id,method,mPSNR,mSSIM,ERGAS,time_sec
sparse,0.200000,0.000000,0.200000,0.000000,0.100000,pure_DCmall.mat,Noisy,14.773323,0.336423,112.962542,0.000000
sparse,0.200000,0.000000,0.200000,0.000000,0.100000,pure_DCmall.mat,SSCTV-RPCA,54.357757,0.999186,1.904777,792.050359
sparse,0.200000,0.000000,0.200000,0.000000,0.100000,pure_DCmall.mat,CTV-RPCA,48.989310,0.999151,2.737808,174.564052
sparse,0.200000,0.000000,0.200000,0.000000,0.100000,pure_DCmall.mat,RPCA,43.855104,0.998413,5.375361,35.878051
sparse,0.200000,0.000000,0.200000,0.000000,0.100000,pure_DCmall_small.mat,Noisy,14.794172,0.488029,65.033630,0.000000
sparse,0.200000,0.000000,0.200000,0.000000,0.100000,pure_DCmall_small.mat,SSCTV-RPCA,51.435275,0.999302,1.648888,237.290803
sparse,0.200000,0.000000,0.200000,0.000000,0.100000,pure_DCmall_small.mat,CTV-RPCA,48.528156,0.999262,1.801280,51.394542
sparse,0.200000,0.000000,0.200000,0.000000,0.100000,pure_DCmall_small.mat,RPCA,43.817881,0.998531,2.825395,8.667535
