ds_idx,ds_total,task_idx,task_total,dataset,method,has_gt,auc,score_min,score_max,score_mean,score_std,seconds
1,1,2,3,PaviaU,RPCA_RX,0,,11.629609,10177.852240,60.057717,111.499830,29.497
1,1,1,3,PaviaU,RX,0,,22.928629,2663.144345,64.038602,29.513565,0.843
1,1,3,3,PaviaU,SSCTV,0,,0.013665,0.589151,0.036180,0.019490,1125.761
