noise_param,noise_level,gaussian_level,sparse_level,stripe_prob,stripe_strength,method,AVG_mPSNR,AVG_mSSIM,AVG_ERGAS,AVG_time_sec,N_cases
sparse,0.200000,0.000000,0.200000,0.000000,0.100000,Noisy,14.770326,0.097569,221.396001,0.000000,32
sparse,0.200000,0.000000,0.200000,0.000000,0.100000,SSCTV-RPCA,48.398992,0.995846,5.758053,4514.068164,32
sparse,0.200000,0.000000,0.200000,0.000000,0.100000,CTV-RPCA,41.727035,0.993665,12.690691,774.734620,32
sparse,0.200000,0.000000,0.200000,0.000000,0.100000,RPCA,28.688998,0.933461,57.062976,112.431252,32
