noise_param,noise_level,gaussian_level,sparse_level,stripe_prob,stripe_strength,case_id,method,mPSNR,mSSIM,ERGAS,time_sec
sparse,0.200000,0.000000,0.200000,0.000000,0.100000,balloons_ms,Noisy,14.770084,0.063508,124.843074,0.000000
sparse,0.200000,0.000000,0.200000,0.000000,0.100000,balloons_ms,SSCTV-RPCA,52.218844,0.997315,2.093051,4579.941628
sparse,0.200000,0.000000,0.200000,0.000000,0.100000,balloons_ms,CTV-RPCA,45.525560,0.996498,4.531968,801.228656
sparse,0.200000,0.000000,0.200000,0.000000,0.100000,balloons_ms,RPCA,31.740039,0.942210,17.939126,119.513630
sparse,0.200000,0.000000,0.200000,0.000000,0.100000,beads_ms,Noisy,14.766750,0.206146,170.251714,0.000000
sparse,0.200000,0.000000,0.200000,0.000000,0.100000,beads_ms,SSCTV-RPCA,41.343974,0.995172,9.427909,4507.464250
sparse,0.200000,0.000000,0.200000,0.000000,0.100000,beads_ms,CTV-RPCA,33.071197,0.984882,24.388618,789.461178
sparse,0.200000,0.000000,0.200000,0.000000,0.100000,beads_ms,RPCA,24.595985,0.910603,63.652192,137.846245
sparse,0.200000,0.000000,0.200000,0.000000,0.100000,cd_ms,Noisy,14.775252,0.062152,270.814435,0.000000
sparse,0.200000,0.000000,0.200000,0.000000,0.100000,cd_ms,SSCTV-RPCA,37.148753,0.992112,19.705276,4522.833531
sparse,0.200000,0.000000,0.200000,0.000000,0.100000,cd_ms,CTV-RPCA,33.930469,0.988220,29.251651,773.977257
sparse,0.200000,0.000000,0.200000,0.000000,0.100000,cd_ms,RPCA,22.344539,0.918001,114.495756,137.750018
sparse,0.200000,0.000000,0.200000,0.000000,0.100000,chart_and_stuffed_toy_ms,Noisy,14.771296,0.125690,110.858401,0.000000
sparse,0.200000,0.000000,0.200000,0.000000,0.100000,chart_and_stuffed_toy_ms,SSCTV-RPCA,49.744758,0.995859,3.377049,4721.001241
sparse,0.200000,0.000000,0.200000,0.000000,0.100000,chart_and_stuffed_toy_ms,CTV-RPCA,42.714998,0.995531,4.681403,821.691807
sparse,0.200000,0.000000,0.200000,0.000000,0.100000,chart_and_stuffed_toy_ms,RPCA,32.360939,0.948125,17.342394,101.916170
sparse,0.200000,0.000000,0.200000,0.000000,0.100000,clay_ms,Noisy,14.765856,0.057462,292.013144,0.000000
sparse,0.200000,0.000000,0.200000,0.000000,0.100000,clay_ms,SSCTV-RPCA,49.586882,0.995697,5.892487,4506.942482
sparse,0.200000,0.000000,0.200000,0.000000,0.100000,clay_ms,CTV-RPCA,42.714684,0.993749,12.719458,767.193546
sparse,0.200000,0.000000,0.200000,0.000000,0.100000,clay_ms,RPCA,24.620612,0.904337,111.213282,138.478755
sparse,0.200000,0.000000,0.200000,0.000000,0.100000,cloth_ms,Noisy,14.769767,0.258648,99.895237,0.000000
