noise_param,noise_level,gaussian_level,sparse_level,stripe_prob,stripe_strength,method,AVG_mPSNR,AVG_mSSIM,AVG_ERGAS,AVG_time_sec,N_cases
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,Noisy,11.761395,0.044101,313.032657,0.000000,32
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,SSCTV-RPCA,44.979738,0.987777,7.329298,4493.650262,32
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,CTV-RPCA,39.456946,0.986568,14.917851,779.435435,32
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,RPCA,24.985671,0.854630,73.821705,109.767014,32
