noise_param,noise_level,gaussian_level,sparse_level,stripe_prob,stripe_strength,case_id,method,mPSNR,mSSIM,ERGAS,time_sec
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,cloth_ms,RPCA,27.076190,0.884038,23.234041,112.807600
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,egyptian_statue_ms,Noisy,11.761794,0.016718,611.261793,0.000000
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,egyptian_statue_ms,SSCTV-RPCA,46.634422,0.995343,11.591416,4289.912570
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,egyptian_statue_ms,CTV-RPCA,40.516825,0.993783,21.893661,744.085948
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,egyptian_statue_ms,RPCA,26.559395,0.932537,116.808334,121.107968
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,face_ms,Noisy,11.757877,0.030291,230.791105,0.000000
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,face_ms,SSCTV-RPCA,43.571301,0.989534,6.152244,4597.088740
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,face_ms,CTV-RPCA,39.343864,0.988222,10.101865,801.110019
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,face_ms,RPCA,26.001304,0.907608,49.521330,112.778697
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,fake_and_real_beers_ms,Noisy,11.764110,0.029889,83.884681,0.000000
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,fake_and_real_beers_ms,SSCTV-RPCA,46.254497,0.988303,1.714134,4610.786078
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,fake_and_real_beers_ms,CTV-RPCA,41.228197,0.988824,3.010962,811.232613
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,fake_and_real_beers_ms,RPCA,31.123263,0.825689,9.188734,129.201921
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,fake_and_real_food_ms,Noisy,11.766556,0.027537,501.771591,0.000000
