noise_param,noise_level,gaussian_level,sparse_level,stripe_prob,stripe_strength,case_id,method,mPSNR,mSSIM,ERGAS,time_sec
sparse,0.300000,0.000000,0.300000,0.000000,0.100000,pure_DCmall.mat,Noisy,13.010677,0.246757,138.375231,0.000000
sparse,0.300000,0.000000,0.300000,0.000000,0.100000,pure_DCmall.mat,SSCTV-RPCA,53.142705,0.998951,2.173016,804.059368
sparse,0.300000,0.000000,0.300000,0.000000,0.100000,pure_DCmall.mat,CTV-RPCA,47.451635,0.998829,3.138802,178.119147
sparse,0.300000,0.000000,0.300000,0.000000,0.100000,pure_DCmall.mat,RPCA,42.228951,0.997698,6.049932,37.725296
sparse,0.300000,0.000000,0.300000,0.000000,0.100000,pure_DCmall_small.mat,Noisy,13.013145,0.384230,79.742648,0.000000
sparse,0.300000,0.000000,0.300000,0.000000,0.100000,pure_DCmall_small.mat,SSCTV-RPCA,50.013748,0.999103,1.856470,242.836349
sparse,0.300000,0.000000,0.300000,0.000000,0.100000,pure_DCmall_small.mat,CTV-RPCA,46.627777,0.998970,2.176355,50.259539
sparse,0.300000,0.000000,0.300000,0.000000,0.100000,pure_DCmall_small.mat,RPCA,41.918327,0.997932,3.421155,9.400201
