noise_param,noise_level,gaussian_level,sparse_level,stripe_prob,stripe_strength,method,AVG_mPSNR,AVG_mSSIM,AVG_ERGAS,AVG_time_sec,N_cases
sparse,0.300000,0.000000,0.300000,0.000000,0.100000,Noisy,13.011911,0.315494,109.058939,0.000000,2
sparse,0.300000,0.000000,0.300000,0.000000,0.100000,SSCTV-RPCA,51.578226,0.999027,2.014743,523.447858,2
sparse,0.300000,0.000000,0.300000,0.000000,0.100000,CTV-RPCA,47.039706,0.998899,2.657578,114.189343,2
sparse,0.300000,0.000000,0.300000,0.000000,0.100000,RPCA,42.073639,0.997815,4.735543,23.562748,2
