noise_param,noise_level,gaussian_level,sparse_level,stripe_prob,stripe_strength,method,AVG_mPSNR,AVG_mSSIM,AVG_ERGAS,AVG_time_sec,N_cases
sparse,0.300000,0.000000,0.300000,0.000000,0.100000,Noisy,13.010443,0.060488,271.096965,0.000000,32
sparse,0.300000,0.000000,0.300000,0.000000,0.100000,SSCTV-RPCA,47.213163,0.994096,6.280836,4489.297717,32
sparse,0.300000,0.000000,0.300000,0.000000,0.100000,CTV-RPCA,40.663018,0.991241,13.667328,776.225880,32
sparse,0.300000,0.000000,0.300000,0.000000,0.100000,RPCA,26.821388,0.899501,64.822377,111.506964,32
