noise_param,noise_level,gaussian_level,sparse_level,stripe_prob,stripe_strength,case_id,method,mPSNR,mSSIM,ERGAS,time_sec
sparse,0.300000,0.000000,0.300000,0.000000,0.100000,balloons_ms,Noisy,13.009773,0.035692,152.882069,0.000000
sparse,0.300000,0.000000,0.300000,0.000000,0.100000,balloons_ms,SSCTV-RPCA,51.186637,0.996518,2.309089,4671.714995
sparse,0.300000,0.000000,0.300000,0.000000,0.100000,balloons_ms,CTV-RPCA,44.611667,0.995656,4.962103,788.370303
sparse,0.300000,0.000000,0.300000,0.000000,0.100000,balloons_ms,RPCA,29.002579,0.886653,24.507462,118.340010
sparse,0.300000,0.000000,0.300000,0.000000,0.100000,beads_ms,Noisy,13.010049,0.144113,208.349466,0.000000
sparse,0.300000,0.000000,0.300000,0.000000,0.100000,beads_ms,SSCTV-RPCA,40.191300,0.991528,10.361546,4497.590832
sparse,0.300000,0.000000,0.300000,0.000000,0.100000,beads_ms,CTV-RPCA,32.463118,0.980376,25.687378,783.764984
sparse,0.300000,0.000000,0.300000,0.000000,0.100000,beads_ms,RPCA,22.902388,0.869040,72.144316,127.509098
sparse,0.300000,0.000000,0.300000,0.000000,0.100000,cd_ms,Noisy,13.012901,0.032140,331.726425,0.000000
sparse,0.300000,0.000000,0.300000,0.000000,0.100000,cd_ms,SSCTV-RPCA,36.878911,0.989755,20.325499,4464.770931
sparse,0.300000,0.000000,0.300000,0.000000,0.100000,cd_ms,CTV-RPCA,33.603511,0.985037,30.231302,762.930038
sparse,0.300000,0.000000,0.300000,0.000000,0.100000,cd_ms,RPCA,21.932240,0.898684,118.399882,124.153703
sparse,0.300000,0.000000,0.300000,0.000000,0.100000,chart_and_stuffed_toy_ms,Noisy,13.003580,0.082960,135.875898,0.000000
sparse,0.300000,0.000000,0.300000,0.000000,0.100000,chart_and_stuffed_toy_ms,SSCTV-RPCA,48.271514,0.994191,3.750720,4678.518260
sparse,0.300000,0.000000,0.300000,0.000000,0.100000,chart_and_stuffed_toy_ms,CTV-RPCA,40.831908,0.993450,5.753986,803.769713
sparse,0.300000,0.000000,0.300000,0.000000,0.100000,chart_and_stuffed_toy_ms,RPCA,30.595820,0.923975,20.338992,108.907628
sparse,0.300000,0.000000,0.300000,0.000000,0.100000,clay_ms,Noisy,13.004385,0.029943,357.666029,0.000000
sparse,0.300000,0.000000,0.300000,0.000000,0.100000,clay_ms,SSCTV-RPCA,48.353979,0.994291,6.580932,4668.140354
sparse,0.300000,0.000000,0.300000,0.000000,0.100000,clay_ms,CTV-RPCA,41.566386,0.991293,13.976503,792.837799
sparse,0.300000,0.000000,0.300000,0.000000,0.100000,clay_ms,RPCA,23.051343,0.864153,122.010139,116.521553
sparse,0.300000,0.000000,0.300000,0.000000,0.100000,cloth_ms,Noisy,13.015385,0.184751,122.242585,0.000000
sparse,0.300000,0.000000,0.300000,0.000000,0.100000,cloth_ms,SSCTV-RPCA,43.884761,0.988739,4.132313,4604.050271
sparse,0.300000,0.000000,0.300000,0.000000,0.100000,cloth_ms,CTV-RPCA,40.508494,0.990162,5.762289,813.633595
sparse,0.300000,0.000000,0.300000,0.000000,0.100000,cloth_ms,RPCA,29.961992,0.934648,17.565035,113.192559
sparse,0.300000,0.000000,0.300000,0.000000,0.100000,egyptian_statue_ms,Noisy,13.014763,0.025759,529.134331,0.000000
sparse,0.300000,0.000000,0.300000,0.000000,0.100000,egyptian_statue_ms,SSCTV-RPCA,47.732654,0.997632,10.530653,4378.729680
sparse,0.300000,0.000000,0.300000,0.000000,0.100000,egyptian_statue_ms,CTV-RPCA,41.119817,0.995338,20.431369,740.348924
sparse,0.300000,0.000000,0.300000,0.000000,0.100000,egyptian_statue_ms,RPCA,28.158266,0.951436,99.892209,120.132209
sparse,0.300000,0.000000,0.300000,0.000000,0.100000,face_ms,Noisy,13.006425,0.043219,199.889209,0.000000
sparse,0.300000,0.000000,0.300000,0.000000,0.100000,face_ms,SSCTV-RPCA,44.756946,0.994244,5.463358,4483.672699
sparse,0.300000,0.000000,0.300000,0.000000,0.100000,face_ms,CTV-RPCA,40.196593,0.991395,9.161548,776.958360
sparse,0.300000,0.000000,0.300000,0.000000,0.100000,face_ms,RPCA,27.542227,0.937732,43.884356,130.152043
sparse,0.300000,0.000000,0.300000,0.000000,0.100000,fake_and_real_beers_ms,Noisy,13.015625,0.040847,72.621603,0.000000
sparse,0.300000,0.000000,0.300000,0.000000,0.100000,fake_and_real_beers_ms,SSCTV-RPCA,48.131135,0.993890,1.427190,4650.090924
sparse,0.300000,0.000000,0.300000,0.000000,0.100000,fake_and_real_beers_ms,CTV-RPCA,42.261627,0.991858,2.590699,801.407000
sparse,0.300000,0.000000,0.300000,0.000000,0.100000,fake_and_real_beers_ms,RPCA,34.438569,0.920224,6.440399,125.556263
sparse,0.300000,0.000000,0.300000,0.000000,0.100000,fake_and_real_food_ms,Noisy,13.014513,0.040844,434.470280,0.000000
sparse,0.300000,0.000000,0.300000,0.000000,0.100000,fake_and_real_food_ms,SSCTV-RPCA,49.355088,0.996193,6.447216,4439.747873
sparse,0.300000,0.000000,0.300000,0.000000,0.100000,fake_and_real_food_ms,CTV-RPCA,41.688663,0.992540,16.119496,741.712311
sparse,0.300000,0.000000,0.300000,0.000000,0.100000,fake_and_real_food_ms,RPCA,24.553471,0.890593,116.326091,124.710687
sparse,0.300000,0.000000,0.300000,0.000000,0.100000,fake_and_real_lemon_slices_ms,Noisy,13.013093,0.045553,335.373552,0.000000
sparse,0.300000,0.000000,0.300000,0.000000,0.100000,fake_and_real_lemon_slices_ms,SSCTV-RPCA,46.188106,0.993674,8.771718,4357.905580
